IsFraud,Amount,Country,TimeOfTransaction,BusinessType,NumberOfTransactionsAtThisShop,DayOfWeek
0,10,DK,13,2,0,1
0,100,LT,18,1,3,4
0,49.99,AT,11,4,3,0
0,12,AUS,9,6,4,3
0,250,UK,12,1,5,6
0,149.99,UK,17,2,2,5
0,10,UK,16,8,1,4
0,49.99,DK,12,9,4,3
0,18,UK,14,2,3,6
0,27,DK,10,1,5,5
0,40,DK,11,1,6,2
0,2,UK,10,2,7,4
0,34.99,UK,9,4,8,3
0,2,UK,8,9,9,0
1,18000,LT,13,9,0,0
1,20000,LT,14,9,0,0
1,19000,LT,13,9,0,0
1,6000,LT,13,9,1,4
1,9000,LT,12,9,0,4
1,5000,LT,12,9,0,4
1,20000,LT,12,9,0,0
1,10000,LT,12,9,0,6
1,20000.01,UK,13,1,0,0
1,21000,LT,13,9,0,0
1,11000,LT,13,9,1,6
1,210000,UK,14,1,0,0
1,22000,UK,12,1,1,0
1,280000,LT,12,9,0,0
1,15000,LT,12,9,0,6
